User;Gain;HeadSet;Rates Hz;Date;Start;MAC
;24;16;250.0;20241203;03:23:26 064 PM;0c:dc:7e:cb:72:aa
tpsLocalPC;tps;Fp1;Fp2;F3;Fz;F4;C1;Cz;C2;P3;Pz;P4;O1;Oz;O2;T3;T4;Marker;Tps_Marker;Marker_int
1733235806.335;2097876;-34602.8656;-32516.0623;-26201.2705;-33914.6778;-20710.0734;-36563.4486;-31915.8286;-30907.2956;-14269.8213;-17901.9794;-11454.0383;-17565.3622;-16974.2927;-17009.5637;-30171.7445;-42915.6125;N;0.0;0
1733235806.339;2097880;-34586.0571;-32501.1313;-26183.0539;-33879.295;-20687.6323;-36549.2553;-31899.3777;-30894.8234;-14242.7981;-17886.8473;-11435.2405;-17543.301;-16913.0266;-16988.2625;-30160.9486;-42904.8389;N;0.0;0
1733235806.343;2097884;-34583.9337;-32500.796;-26161.2833;-33835.8432;-20680.1891;-36539.8005;-31885.8549;-30892.5435;-14215.1713;-17881.4158;-11432.3795;-17534.1144;-16895.1005;-16990.4307;-30159.4734;-42905.9565;N;0.0;0
1733235806.345;2097888;-34592.3826;-32513.0895;-26162.0656;-33845.5662;-20696.2824;-36546.8413;-31892.8286;-30902.7806;-14221.4745;-17892.7034;-11447.5563;-17545.0221;-16939.0664;-17010.5025;-30169.4199;-42916.0595;N;0.0;0
1733235806.349;2097892;-34597.1435;-32522.8348;-26186.876;-33889.6886;-20713.0015;-36554.4185;-31906.4185;-30911.9895;-14252.7446;-17906.6062;-11460.4309;-17564.4904;-17000.1313;-17024.3829;-30177.2654;-42921.3569;N;0.0;0
1733235806.353;2097896;-34596.3389;-32523.5501;-26203.9304;-33917.0918;-20717.0472;-36560.8335;-31912.8335;-30914.627;-14270.8719;-17914.094;-11462.7779;-17575.264;-16997.0468;-17022.3936;-30175.7231;-42920.0158;N;0.0;0
1733235806.357;2097900;-34606.5313;-32524.6677;-26204.6903;-33903.4796;-20712.4874;-36568.6566;-31920.2989;-30918.3598;-14261.4618;-17914.6752;-11459.3804;-17568.1114;-16935.7806;-17007.8874;-30183.4792;-42926.3636;N;0.0;0
1733235806.361;2097904;-34623.1163;-32534.6366;-26195.1014;-33869.7061;-20718.2094;-36576.6138;-31922.6906;-30927.2781;-14248.7213;-17915.7257;-11466.5329;-17565.161;-16919.3968;-17016.4928;-30197.9631;-42934.0303;N;0.0;0
1733235806.365;2097908;-34616.7907;-32533.7872;-26185.9819;-33862.1959;-20720.1988;-36575.8538;-31917.572;-30924.4841;-14247.4473;-17917.8268;-11473.1714;-17572.85;-16957.7301;-17029.3227;-30194.4762;-42934.2091;N;0.0;0
1733235806.369;2097912;-34612.6109;-32530.9485;-26193.1568;-33894.3824;-20723.8421;-36572.3446;-31914.8004;-30914.4929;-14260.7912;-17913.3564;-11470.0422;-17572.85;-16997.4491;-17019.5773;-30187.8378;-42928.8447;N;0.0;0
1733235806.373;2097916;-34614.8908;-32529.2274;-26206.7243;-33922.255;-20724.3338;-36570.1988;-31915.9627;-30911.8107;-14269.2402;-17908.2379;-11459.4027;-17567.9103;-16977.9584;-17003.797;-30181.4228;-42926.0954;N;0.0;0
1733235806.377;2097920;-34610.1522;-32530.4568;-26203.2598;-33902.0267;-20714.7449;-36566.3096;-31911.6712;-30914.0906;-14254.2198;-17904.4828;-11451.1102;-17559.2378;-16925.3647;-16993.8505;-30183.8815;-42927.2354;N;0.0;0
1733235806.381;2097924;-34604.3408;-32532.4908;-26182.428;-33857.3456;-20707.2347;-36561.4593;-31903.7586;-30911.7213;-14227.0848;-17898.269;-11450.6632;-17548.3748;-16903.1918;-16996.2645;-30179.0312;-42929.6717;N;0.0;0
1733235806.385;2097928;-34607.783;-32537.1847;-26179.7458;-33856.4962;-20716.9577;-36561.3028;-31903.8704;-30914.9846;-14233.1198;-17902.6499;-11461.392;-17553.2922;-16948.6329;-17012.1342;-30182.5851;-42934.3879;N;0.0;0
1733235806.389;2097932;-34607.9618;-32536.1565;-26193.3357;-33891.9461;-20723.775;-36560.7888;-31908.9442;-30913.7106;-14253.4152;-17909.2884;-11466.6;-17562.5905;-16996.2868;-17018.8621;-30181.2887;-42928.0847;N;0.0;0
1733235806.392;2097936;-34615.3826;-32534.2119;-26208.7137;-33920.981;-20723.775;-36563.3592;-31913.9063;-30911.5648;-14264.7475;-17907.8132;-11460.1403;-17564.6245;-16980.8865;-17010.2566;-30175.9467;-42925.4249;N;0.0;0
1733235806.396;2097940;-34613.7285;-32530.7474;-26214.1675;-33908.464;-20717.8518;-36572.0987;-31917.1473;-30917.7339;-14262.4453;-17910.6295;-11459.5816;-17566.815;-16935.2889;-17006.9709;-30187.7484;-42925.7154;N;0.0;0
1733235806.4;2097944;-34598.3952;-32516.4422;-26187.2336;-33861.7042;-20707.3241;-36564.9238;-31907.5137;-30915.5658;-14237.3219;-17906.4274;-11459.9392;-17560.0201;-16912.2219;-17006.5016;-30181.7134;-42921.9157;N;0.0;0
1733235806.404;2097948;-34596.2271;-32526.277;-26171.9227;-33848.5613;-20706.9665;-36551.8704;-31896.6955;-30904.4123;-14226.459;-17899.2525;-11454.4183;-17548.7548;-16945.7719;-17008.4909;-30167.7883;-42921.4016;N;0.0;0
1733235806.406;2097952;-34592.9414;-32518.9903;-26175.3201;-33877.3951;-20706.0054;-36545.746;-31895.0415;-30893.8399;-14241.3229;-17897.4196;-11450.1491;-17550.1183;-16989.5142;-17007.5744;-30153.0808;-42912.0585;N;0.0;0
1733235806.41;2097956;-34607.3359;-32536.9388;-26207.2831;-33926.4572;-20724.915;-36568.3883;-31918.712;-30914.8729;-14275.4316;-17918.4079;-11463.6272;-17573.9899;-16995.728;-17017.521;-30170.5822;-42929.3141;N;0.0;0
1733235806.414;2097960;-34610.8228;-32542.6832;-26211.0382;-33915.1025;-20725.3397;-36574.1998;-31921.5506;-30922.0478;-14266.4909;-17918.1844;-11462.2638;-17564.9822;-16939.4016;-17013.5647;-30178.45;-42937.3831;N;0.0;0
1733235806.418;2097964;-34600.5186;-32528.1546;-26180.774;-33863.2464;-20709.4923;-36561.5711;-31903.0657;-30913.4424;-14229.0518;-17901.7782;-11448.3163;-17548.7548;-16907.841;-17009.3626;-30168.6823;-42925.7825;N;0.0;0
1733235806.422;2097968;-34589.678;-32527.2381;-26168.1676;-33854.5516;-20704.5749;-36551.2669;-31896.0249;-30905.3063;-14222.2792;-17898.4031;-11445.6564;-17548.2184;-16944.3414;-17009.8096;-30160.1663;-42917.3782;N;0.0;0
1733235806.426;2097972;-34593.8802;-32527.9087;-26183.2103;-33893.7789;-20717.1142;-36555.8714;-31905.815;-30906.0216;-14251.6047;-17901.2641;-11448.9421;-17555.505;-16984.0157;-17008.5579;-30159.1158;-42918.9876;N;0.0;0
1733235806.43;2097976;-34612.7227;-32538.6822;-26214.9274;-33936.0237;-20731.6652;-36574.3116;-31924.9704;-30918.7397;-14280.5502;-17919.1008;-11455.29;-17572.7829;-16982.3393;-17014.3247;-30170.247;-42933.0245;N;0.0;0
1733235806.434;2097980;-34601.2786;-32530.5462;-26205.048;-33905.6253;-20715.2367;-36569.3271;-31910.9336;-30909.3967;-14257.8855;-17907.5673;-11442.6389;-17557.2038;-16928.5163;-16997.5385;-30165.1955;-42925.7154;N;0.0;0
1733235806.436;2097984;-34594.3943;-32529.1827;-26181.4669;-33860.4301;-20703.9267;-36558.9336;-31899.8471;-30905.2616;-14227.9789;-17896.5256;-11440.2026;-17546.8102;-16905.6952;-17003.6182;-30166.8942;-42921.8039;N;0.0;0
1733235806.44;2097988;-34593.5449;-32532.5355;-26171.5204;-33853.2329;-20709.0229;-36557.436;-31902.1717;-30907.4298;-14231.5105;-17904.1699;-11454.4854;-17557.3379;-16953.6173;-17030.105;-30169.1741;-42923.9944;N;0.0;0
1733235806.444;2097992;-34588.4264;-32531.3061;-26182.5174;-33888.9733;-20720.0646;-36561.437;-31907.9161;-30907.6756;-14254.2645;-17909.6907;-11460.945;-17571.1289;-17005.9875;-17033.4578;-30166.0448;-42922.9662;N;0.0;0
1733235806.448;2097996;-34584.0901;-32514.6317;-26192.8663;-33907.9052;-20710.9004;-36558.7547;-31904.7421;-30898.5338;-14263.0264;-17898.6043;-11445.6117;-17564.3787;-16981.8029;-17007.2615;-30160.1887;-42912.8185;N;0.0;0
